	mcg	gvh	alm	mit	erl	pox	vac	nuc	Class
387	0.41	0.6	0.53	0.29	0.5	0.0	0.47	0.43	1
388	0.69	0.5	0.49	0.42	0.5	0.0	0.49	0.22	0
389	0.38	0.49	0.61	0.13	0.5	0.0	0.54	0.22	2
390	0.6	0.48	0.44	0.52	0.5	0.0	0.54	0.63	1
391	0.47	0.49	0.63	0.17	0.5	0.0	0.31	0.26	1
392	0.28	0.51	0.55	0.11	0.5	0.0	0.46	0.22	1
393	0.56	0.57	0.63	0.39	1.0	0.0	0.59	0.4	1
394	0.21	0.38	0.49	0.16	0.5	0.0	0.51	0.45	2
395	0.46	0.57	0.57	0.15	0.5	0.0	0.52	0.26	1
396	0.43	0.42	0.54	0.22	0.5	0.0	0.57	0.33	1
397	0.57	0.59	0.5	0.58	0.5	0.0	0.53	0.22	0
398	0.48	0.34	0.47	0.14	0.5	0.0	0.47	0.26	2
399	0.35	0.4	0.53	0.18	0.5	0.0	0.42	0.38	2
400	0.47	0.45	0.53	0.62	0.5	0.0	0.46	0.22	0
401	0.53	0.43	0.47	0.15	0.5	0.0	0.58	0.22	2
402	0.46	0.45	0.56	0.16	0.5	0.0	0.56	0.22	2
403	0.44	0.42	0.62	0.14	0.5	0.0	0.55	0.37	1
404	0.37	0.34	0.58	0.24	0.5	0.0	0.44	0.18	1
405	0.37	0.34	0.58	0.24	0.5	0.0	0.44	0.18	1
406	0.39	0.39	0.55	0.52	0.5	0.0	0.37	0.16	1
407	0.39	0.39	0.55	0.52	0.5	0.0	0.37	0.16	1
408	0.48	0.46	0.38	0.29	0.5	0.0	0.53	0.22	6
409	0.48	0.57	0.5	0.09	0.5	0.0	0.52	0.42	1
410	0.61	0.57	0.45	0.21	0.5	0.0	0.5	0.42	1
411	0.56	0.44	0.56	0.19	0.5	0.0	0.54	0.22	2
412	0.51	0.63	0.3	0.35	0.5	0.0	0.53	0.27	6
413	0.53	0.68	0.34	0.42	0.5	0.0	0.54	0.27	6
414	0.37	0.22	0.64	0.35	0.5	0.0	0.47	0.22	1
415	0.51	0.48	0.58	0.22	0.5	0.0	0.5	0.28	1
416	0.49	0.37	0.59	0.17	0.5	0.0	0.51	0.22	1
417	0.51	0.48	0.58	0.22	0.5	0.0	0.5	0.28	1
418	0.53	0.53	0.53	0.17	0.5	0.0	0.49	0.37	1
419	0.29	0.68	0.47	0.26	0.5	0.0	0.47	0.37	1
420	0.5	0.45	0.49	0.15	0.5	0.0	0.55	0.43	1
421	0.33	0.28	0.31	0.24	0.5	0.0	0.53	0.22	6
422	0.85	0.85	0.3	0.31	0.5	0.0	0.55	0.42	3
423	0.43	0.39	0.51	0.28	0.5	0.0	0.4	0.22	1
424	0.61	0.54	0.49	0.16	0.5	0.0	0.54	0.42	2
425	0.34	0.35	0.61	0.19	0.5	0.0	0.52	0.25	1
426	0.55	0.53	0.56	0.29	0.5	0.0	0.48	0.22	0
427	0.66	0.62	0.52	0.17	0.5	0.0	0.49	0.22	2
428	0.44	0.41	0.58	0.2	0.5	0.0	0.57	0.25	2
429	0.37	0.62	0.34	0.25	0.5	0.0	0.51	0.22	6
430	0.45	0.56	0.51	0.64	0.5	0.0	0.54	0.22	0
431	0.38	0.46	0.52	0.75	0.5	0.0	0.5	0.26	0
432	0.61	0.54	0.49	0.19	0.5	0.0	0.54	0.47	2
433	0.44	0.53	0.52	0.37	0.5	0.0	0.5	0.22	1
434	0.44	0.53	0.52	0.37	0.5	0.0	0.5	0.22	1
435	0.32	0.34	0.61	0.17	0.5	0.0	0.52	0.32	1
436	0.34	0.34	0.61	0.18	0.5	0.0	0.52	0.32	1
437	0.51	0.68	0.49	0.59	0.5	0.0	0.54	0.27	0
438	0.41	0.3	0.49	0.28	0.5	0.0	0.54	0.22	2
439	0.41	0.43	0.5	0.28	0.5	0.0	0.5	0.22	2
440	0.3	0.5	0.34	0.26	0.5	0.0	0.51	0.22	6
441	0.49	0.4	0.34	0.26	0.5	0.0	0.5	0.22	6
442	0.34	0.4	0.3	0.23	0.5	0.0	0.51	0.22	6
443	0.43	0.44	0.3	0.18	0.5	0.0	0.51	0.22	6
444	0.43	0.45	0.37	0.12	0.5	0.0	0.48	0.22	6
445	0.45	0.57	0.3	0.17	0.5	0.0	0.51	0.22	6
446	0.45	0.57	0.3	0.17	0.5	0.0	0.51	0.22	6
447	0.42	0.44	0.33	0.17	0.5	0.0	0.54	0.27	6
448	0.52	0.5	0.53	0.1	0.5	0.0	0.48	0.22	8
449	0.53	0.56	0.49	0.46	0.5	0.0	0.52	0.22	0
450	0.45	0.54	0.54	0.62	0.5	0.0	0.53	0.22	0
451	0.51	0.43	0.63	0.18	0.5	0.0	0.52	0.22	2
452	0.51	0.52	0.48	0.5	0.5	0.0	0.51	0.22	0
453	0.55	0.49	0.5	0.46	0.5	0.0	0.52	0.25	0
454	0.5	0.46	0.52	0.16	0.5	0.0	0.52	0.26	2
455	0.5	0.53	0.45	0.44	0.5	0.0	0.49	0.22	0
456	0.45	0.59	0.53	0.74	0.5	0.0	0.47	0.25	0
457	0.57	0.61	0.55	0.67	0.5	0.0	0.48	0.22	0
458	0.54	0.45	0.62	0.13	0.5	0.0	0.52	0.26	1
459	0.67	0.51	0.53	0.28	0.5	0.0	0.51	0.22	0
460	0.35	0.49	0.47	0.22	0.5	0.0	0.5	0.28	0
461	0.47	0.63	0.66	0.45	0.5	0.0	0.37	0.11	0
462	0.51	0.34	0.43	0.18	0.5	0.0	0.48	0.25	2
463	0.56	0.45	0.59	0.14	0.5	0.0	0.51	0.26	1
464	0.45	0.38	0.59	0.18	0.5	0.0	0.44	0.45	1
465	0.43	0.51	0.6	0.25	0.5	0.0	0.55	0.22	2
466	0.47	0.59	0.43	0.13	0.5	0.0	0.56	0.3	6
467	0.4	0.45	0.42	0.17	0.5	0.0	0.54	0.26	6
468	0.89	0.81	0.36	0.71	0.5	0.0	0.55	0.63	3
469	0.58	0.55	0.52	0.22	0.5	0.0	0.44	0.22	0
470	0.59	0.57	0.46	0.14	0.5	0.0	0.52	0.22	0
471	0.49	0.41	0.32	0.21	0.5	0.0	0.5	0.32	6
472	0.35	0.53	0.35	0.33	0.5	0.0	0.5	0.32	6
473	0.42	0.32	0.61	0.13	0.5	0.0	0.14	0.27	1
474	0.5	0.46	0.42	0.32	0.5	0.0	0.56	0.55	6
475	0.68	0.5	0.43	0.27	0.5	0.0	0.61	0.22	5
476	0.5	0.45	0.49	0.3	0.5	0.0	0.47	0.4	1
477	0.46	0.41	0.5	0.44	0.5	0.0	0.53	0.22	0
478	0.32	0.36	0.34	0.19	0.5	0.0	0.55	0.26	6
479	0.4	0.51	0.42	0.13	0.5	0.0	0.45	0.25	6
480	0.7	0.73	0.37	0.37	0.5	0.0	0.48	0.31	3
481	0.81	0.76	0.32	0.37	0.5	0.0	0.51	0.22	5
482	0.65	0.61	0.39	0.3	0.5	0.0	0.57	0.28	6
483	0.47	0.43	0.35	0.32	0.5	0.0	0.54	0.22	6
484	0.42	0.25	0.6	0.14	0.5	0.0	0.45	0.22	2
485	0.23	0.34	0.41	0.28	0.5	0.0	0.5	0.27	1
486	0.34	0.31	0.6	0.37	0.5	0.0	0.5	0.3	1
487	0.59	0.53	0.47	0.26	0.5	0.0	0.53	0.31	1
488	0.67	0.63	0.34	0.41	0.5	0.0	0.6	0.33	3
489	0.7	0.73	0.38	0.36	0.5	0.0	0.54	0.22	3
490	0.54	0.51	0.54	0.52	0.5	0.0	0.47	0.25	0
491	0.53	0.5	0.54	0.56	0.5	0.0	0.49	0.41	0
492	0.84	0.63	0.38	0.23	0.5	0.0	0.53	0.22	4
493	0.89	0.77	0.36	0.34	0.5	0.0	0.44	0.22	4
494	0.48	0.43	0.45	0.17	0.5	0.0	0.48	0.37	6
495	0.36	0.35	0.47	0.22	0.5	0.0	0.44	0.31	6
496	0.57	0.49	0.48	0.16	0.5	0.0	0.51	0.22	1
497	0.43	0.52	0.53	0.52	1.0	0.0	0.49	0.22	2
498	0.38	0.49	0.54	1.0	0.5	0.0	0.5	0.27	2
499	0.43	0.32	0.56	0.27	0.5	0.0	0.47	0.27	1
500	0.84	0.87	0.45	0.54	0.5	0.0	0.28	0.22	3
501	0.27	0.56	0.56	0.18	0.5	0.0	0.52	0.22	2
502	0.89	0.82	0.6	0.49	0.5	0.0	0.55	0.22	5
503	0.37	0.55	0.29	0.32	0.5	0.0	0.51	0.22	6
504	0.87	0.83	0.57	0.36	0.5	0.0	0.36	0.22	4
505	0.43	0.45	0.54	0.14	0.5	0.0	0.5	0.31	2
506	0.52	0.48	0.54	0.28	0.5	0.0	0.54	0.22	1
507	0.77	0.6	0.42	0.33	0.5	0.0	0.57	0.22	5
508	0.76	0.74	0.56	0.34	0.5	0.0	0.51	0.3	5
509	0.58	0.76	0.4	0.37	0.5	0.0	0.54	0.3	5
510	0.94	0.6	0.33	0.49	0.5	0.0	0.54	0.22	5
511	0.36	0.44	0.57	0.18	0.5	0.0	0.42	0.22	0
512	0.42	0.51	0.39	0.22	0.5	0.0	0.49	0.26	6
513	0.52	0.48	0.58	0.55	0.5	0.0	0.48	0.22	2
514	0.42	0.32	0.48	0.16	0.5	0.0	0.55	0.22	7
515	0.43	0.38	0.51	0.24	0.5	0.0	0.46	0.33	1
516	0.48	0.57	0.52	0.61	0.5	0.0	0.51	0.22	0
517	0.83	0.53	0.52	0.2	0.5	0.0	0.48	0.25	5
518	0.36	0.34	0.46	0.19	0.5	0.0	0.52	0.22	5
519	0.51	0.43	0.47	0.19	0.5	0.0	0.52	0.37	2
520	0.54	0.54	0.49	0.14	0.5	0.0	0.56	0.22	2
521	0.44	0.41	0.44	0.13	0.5	0.0	0.49	0.42	1
522	0.52	0.62	0.54	0.19	0.5	0.0	0.5	0.22	0
523	0.46	0.4	0.38	0.18	0.5	0.0	0.49	0.22	6
524	0.68	0.5	0.55	0.65	0.5	0.0	0.46	0.31	0
525	0.53	0.44	0.47	0.22	0.5	0.0	0.53	0.22	1
526	0.48	0.48	0.5	0.47	0.5	0.0	0.55	0.22	0
527	0.46	0.14	0.36	0.21	0.5	0.0	0.5	0.25	6
528	0.5	0.45	0.48	0.17	0.5	0.0	0.5	0.26	2
529	0.44	0.53	0.43	0.17	0.5	0.0	0.54	0.75	1
530	0.46	0.47	0.46	0.16	0.5	0.0	0.51	0.22	2
531	0.52	0.49	0.57	0.57	0.5	0.0	0.51	0.22	1
532	0.62	0.64	0.56	0.2	0.5	0.0	0.48	0.33	1
533	0.46	0.32	0.58	0.17	0.5	0.0	0.61	0.25	1
534	0.78	0.48	0.47	0.3	0.5	0.0	0.53	0.47	5
535	0.49	0.62	0.65	0.18	0.5	0.0	0.46	0.43	1
536	0.5	0.34	0.62	0.19	0.5	0.0	0.57	0.22	2
537	0.39	0.37	0.33	0.23	0.5	0.0	0.53	0.26	6
538	0.39	0.37	0.56	0.15	0.5	0.0	0.5	0.27	2
539	0.33	0.37	0.54	0.28	0.5	0.0	0.53	0.27	1
540	0.39	0.37	0.33	0.23	0.5	0.0	0.52	0.26	6
541	0.33	0.38	0.53	0.26	0.5	0.0	0.52	0.27	1
542	0.48	0.51	0.57	0.24	0.5	0.0	0.5	0.22	2
543	0.5	0.62	0.54	0.66	0.5	0.0	0.49	0.22	0
544	0.47	0.54	0.54	0.48	0.5	0.0	0.53	0.26	0
545	0.72	0.58	0.42	0.28	0.5	0.0	0.48	0.22	0
546	0.41	0.41	0.51	0.19	0.5	0.0	0.57	0.22	0
547	0.81	0.65	0.52	0.41	0.5	0.0	0.57	0.26	0
548	0.5	0.49	0.52	0.2	0.5	0.0	0.43	0.52	1
549	0.18	0.48	0.46	0.12	0.5	0.0	0.0	0.25	1
550	0.26	0.38	0.52	0.36	0.5	0.0	0.48	0.56	1
551	0.53	0.51	0.51	0.11	0.5	0.0	0.49	0.41	1
552	0.58	0.49	0.5	0.41	0.5	0.0	0.57	0.22	0
553	0.62	0.6	0.47	0.16	0.5	0.0	0.53	0.22	2
554	0.68	0.58	0.51	0.19	0.5	0.83	0.54	0.22	8
555	0.4	0.52	0.53	0.52	0.5	0.0	0.51	0.22	0
556	0.51	0.47	0.41	0.44	0.5	0.0	0.5	0.22	6
557	0.72	0.56	0.4	0.26	0.5	0.0	0.51	0.26	5
558	0.49	0.44	0.45	0.22	0.5	0.0	0.51	0.22	2
559	0.32	0.47	0.55	0.25	0.5	0.0	0.49	0.22	0
560	0.46	0.57	0.52	0.28	0.5	0.0	0.52	0.22	1
561	0.53	0.48	0.45	0.44	0.5	0.0	0.49	0.27	0
562	0.49	0.48	0.46	0.63	0.5	0.0	0.52	0.22	0
563	0.7	0.53	0.42	0.22	0.5	0.0	0.51	0.28	1
564	0.68	0.68	0.49	0.15	0.5	0.0	0.53	0.22	4
565	0.47	0.6	0.35	0.21	0.5	0.0	0.52	0.22	6
566	0.55	0.49	0.45	0.18	0.5	0.0	0.49	0.22	1
567	0.4	0.53	0.61	0.21	0.5	0.0	0.48	0.33	1
568	0.57	0.44	0.42	0.2	0.5	0.0	0.54	0.22	2
569	0.4	0.47	0.48	0.18	0.5	0.0	0.46	0.22	2
570	0.34	0.54	0.54	0.13	0.5	0.0	0.52	0.22	2
571	0.43	0.83	0.55	0.2	0.5	0.0	0.47	0.4	1
572	0.55	0.65	0.5	0.28	0.5	0.0	0.55	0.22	1
573	0.29	0.46	0.54	0.27	0.5	0.0	0.49	0.22	2
574	0.46	0.42	0.6	0.21	0.5	0.0	0.4	0.22	4
575	0.8	0.81	0.55	0.35	0.5	0.0	0.42	0.22	4
576	0.79	0.74	0.49	0.33	0.5	0.0	0.48	0.22	4
577	0.45	0.48	0.63	0.67	0.5	0.0	0.48	0.22	0
578	0.66	0.52	0.52	0.44	0.5	0.0	0.56	0.27	0
579	0.5	0.49	0.59	0.47	0.5	0.0	0.49	0.36	0
580	0.54	0.52	0.54	0.2	0.5	0.0	0.55	0.25	1
581	0.37	0.31	0.53	0.16	0.5	0.0	0.53	0.44	1
582	0.43	0.39	0.59	0.13	0.5	0.0	0.41	0.43	1
583	0.48	0.47	0.54	0.55	0.5	0.0	0.51	0.65	0
584	0.6	0.59	0.45	0.23	0.5	0.0	0.55	0.22	0
585	0.45	0.73	0.47	0.65	0.5	0.0	0.54	0.43	0
586	0.66	0.54	0.49	0.16	0.5	0.0	0.54	0.36	1
587	0.46	0.55	0.61	0.13	0.5	0.0	0.47	0.22	2
588	0.42	0.5	0.53	0.22	0.5	0.83	0.5	0.22	8
589	0.66	0.66	0.32	0.54	0.5	0.0	0.51	0.22	5
590	0.74	0.56	0.35	0.36	0.5	0.0	0.51	0.25	5
591	0.89	0.52	0.41	0.26	0.5	0.0	0.52	0.31	5
592	0.67	0.51	0.54	0.21	0.5	0.0	0.43	0.3	0
593	0.58	0.46	0.46	0.34	0.5	0.0	0.5	0.43	1
594	0.4	0.68	0.5	0.82	0.5	0.0	0.44	0.36	0
595	0.59	0.57	0.43	0.26	0.5	0.0	0.51	0.22	0
596	0.39	0.3	0.56	0.12	0.5	0.0	0.53	0.38	1
597	0.6	0.62	0.54	0.4	0.5	0.0	0.5	0.22	0
598	0.36	0.4	0.53	0.48	0.5	0.0	0.48	0.22	0
599	0.51	0.42	0.56	0.38	0.5	0.0	0.46	0.22	0
600	0.41	0.54	0.58	0.2	0.5	0.0	0.52	0.22	0
601	0.57	0.4	0.62	0.3	0.5	0.0	0.48	0.11	0
602	0.52	0.5	0.59	0.31	0.5	0.0	0.5	0.22	0
603	0.42	0.53	0.53	0.64	0.5	0.0	0.47	0.22	0
604	0.5	0.46	0.64	0.36	0.5	0.0	0.49	0.22	0
605	0.6	0.51	0.6	0.38	0.5	0.83	0.52	0.24	0
606	0.45	0.38	0.64	0.14	0.5	0.0	0.54	0.22	0
607	0.6	0.57	0.64	0.52	0.5	0.0	0.47	0.28	0
608	0.53	0.42	0.58	0.29	0.5	0.0	0.5	0.22	0
609	0.41	0.52	0.53	0.41	0.5	0.0	0.39	0.33	0
610	0.45	0.43	0.63	0.4	0.5	0.0	0.59	0.11	0
611	0.44	0.44	0.67	0.35	0.5	0.0	0.48	0.26	0
612	0.58	0.52	0.61	0.33	0.5	0.0	0.38	0.11	0
613	0.57	0.61	0.55	0.27	0.5	0.0	0.44	0.21	0
614	0.57	0.58	0.58	0.35	0.5	0.0	0.49	0.22	0
615	0.64	0.64	0.56	0.21	0.5	0.0	0.5	0.22	0
616	0.56	0.5	0.61	0.49	0.5	0.0	0.46	0.28	0
617	0.6	0.46	0.59	0.16	0.5	0.0	0.49	0.22	0
618	0.36	0.38	0.56	0.44	0.5	0.0	0.48	0.22	0
619	0.53	0.52	0.61	0.35	0.5	0.0	0.5	0.22	0
620	0.62	0.59	0.54	0.47	0.5	0.0	0.46	0.22	0
621	0.55	0.5	0.6	0.31	0.5	0.0	0.46	0.27	0
622	0.58	0.53	0.57	0.46	0.5	0.0	0.51	0.27	0
623	0.65	0.53	0.55	0.52	0.5	0.0	0.47	0.27	0
624	0.38	0.54	0.54	0.41	0.5	0.0	0.51	0.22	0
625	0.58	0.53	0.5	0.53	0.5	0.0	0.47	0.31	0
626	0.61	0.46	0.51	0.37	0.5	0.0	0.51	0.22	0
627	0.55	0.59	0.47	0.64	0.5	0.0	0.54	0.33	0
628	0.54	0.64	0.5	0.13	0.5	0.0	0.49	0.22	0
629	0.4	0.74	0.49	0.16	0.5	0.0	0.51	0.22	0
630	0.76	0.76	0.35	0.27	0.5	0.0	0.44	0.22	3
631	0.51	0.56	0.51	0.42	0.5	0.0	0.53	0.36	0
632	0.43	0.32	0.5	0.29	0.5	0.0	0.5	0.22	0
633	0.49	0.44	0.45	0.55	0.5	0.0	0.48	0.22	0
634	0.32	0.45	0.44	0.2	0.5	0.0	0.55	0.33	1
635	0.51	0.6	0.51	0.26	0.5	0.0	0.54	0.22	1
636	0.49	0.46	0.42	0.46	0.5	0.0	0.55	0.22	1
637	0.5	0.56	0.49	0.61	0.5	0.0	0.5	0.22	0
638	0.51	0.48	0.51	0.43	0.5	0.0	0.49	0.22	0
639	0.52	0.38	0.62	0.12	0.5	0.0	0.41	0.28	1
640	0.53	0.4	0.57	0.12	0.5	0.0	0.53	0.32	1
641	0.51	0.56	0.62	0.24	0.5	0.0	0.52	0.51	1
642	0.63	0.6	0.5	0.27	0.5	0.0	0.55	0.22	0
643	0.46	0.44	0.53	0.31	0.5	0.0	0.48	0.22	0
644	0.58	0.57	0.54	0.69	0.5	0.0	0.54	0.22	0
645	0.61	0.59	0.47	0.49	0.5	0.0	0.54	0.22	0
646	0.63	0.47	0.56	0.12	0.5	0.0	0.5	0.22	0
647	0.55	0.53	0.54	0.4	0.5	0.0	0.48	0.22	0
648	0.41	0.47	0.58	0.62	0.5	0.0	0.5	0.22	0
649	0.44	0.53	0.53	0.37	0.5	0.0	0.51	0.22	0
650	0.57	0.4	0.48	0.24	0.5	0.0	0.55	0.22	2
651	0.46	0.46	0.56	0.12	0.5	0.0	0.55	0.22	0
652	0.47	0.46	0.55	0.28	0.5	0.0	0.44	0.46	1
653	0.39	0.35	0.49	0.17	0.5	0.0	0.49	0.22	1
654	0.58	0.38	0.4	0.21	0.5	0.0	0.5	0.22	2
655	0.53	0.41	0.5	0.24	1.0	0.0	0.47	0.22	2
656	0.43	0.4	0.5	0.18	0.5	0.0	0.5	0.28	2
657	0.41	0.59	0.46	0.19	0.5	0.0	0.36	0.22	4
658	0.58	0.56	0.52	0.25	0.5	0.0	0.57	0.35	1
659	0.51	0.65	0.53	0.19	0.5	0.0	0.49	0.22	4
660	0.81	0.79	0.32	0.37	0.5	0.0	0.41	0.22	3
661	0.44	0.41	0.29	0.21	0.5	0.0	0.49	0.22	6
662	0.49	0.6	0.55	0.17	0.5	0.0	0.44	0.22	2
663	0.56	0.63	0.52	0.2	0.5	0.0	0.34	0.26	1
664	0.42	0.28	0.57	0.18	0.5	0.0	0.42	0.22	1
665	0.51	0.46	0.54	0.41	0.5	0.0	0.53	0.22	0
666	0.6	0.51	0.52	0.45	0.5	0.0	0.5	0.27	0
667	0.37	0.41	0.45	0.14	0.5	0.0	0.47	0.22	2
668	0.37	0.51	0.57	0.4	0.5	0.0	0.48	0.27	0
669	0.36	0.39	0.55	0.26	0.5	0.0	0.49	0.22	1
670	0.5	0.36	0.53	0.41	0.5	0.0	0.55	0.36	2
671	0.59	0.58	0.39	0.52	0.5	0.0	0.5	0.31	2
672	0.78	0.63	0.53	0.13	0.5	0.0	0.54	0.22	5
673	0.47	0.59	0.37	0.31	0.5	0.0	0.51	0.36	1
674	0.48	0.62	0.52	0.3	0.5	0.0	0.51	0.37	1
675	0.53	0.61	0.51	0.49	0.5	0.0	0.54	0.27	0
676	0.48	0.54	0.53	0.6	0.5	0.0	0.53	0.31	1
677	0.33	0.46	0.53	0.29	0.5	0.0	0.5	0.55	1
678	0.36	0.44	0.51	0.17	0.5	0.0	0.6	0.19	1
679	0.39	0.34	0.68	0.3	0.5	0.0	0.5	0.29	1
680	0.11	0.41	0.67	0.13	0.5	0.0	0.45	0.29	1
681	0.4	0.53	0.44	0.18	0.5	0.0	0.54	0.31	1
682	0.47	0.5	0.55	0.19	0.5	0.0	0.62	0.22	2
683	0.35	0.5	0.44	0.27	0.5	0.0	0.51	0.22	2
684	0.36	0.3	0.5	0.19	0.5	0.0	0.55	0.3	1
685	0.49	0.44	0.51	0.18	0.5	0.0	0.52	0.27	2
686	0.35	0.44	0.54	0.26	0.5	0.0	0.52	0.26	1
687	0.43	0.28	0.53	0.34	0.5	0.0	0.55	0.57	1
688	0.33	0.48	0.55	0.16	0.5	0.0	0.53	0.75	1
689	0.45	0.21	0.49	0.24	0.5	0.0	0.46	0.31	1
690	0.44	0.34	0.61	0.13	0.5	0.0	0.49	0.26	1
691	0.87	0.47	0.6	0.47	0.5	0.0	0.59	0.22	1
692	0.3	0.55	0.58	0.16	0.5	0.0	0.61	0.28	1
693	0.29	0.34	0.55	0.24	0.5	0.0	0.51	0.22	2
694	0.75	0.67	0.51	0.29	0.5	0.0	0.52	0.36	0
695	0.47	0.47	0.5	0.15	0.5	0.0	0.5	0.48	1
696	0.51	0.34	0.49	0.16	0.5	0.0	0.53	0.21	1
697	0.64	0.76	0.51	0.18	0.5	0.0	0.46	0.22	1
698	0.45	0.41	0.58	0.48	0.5	0.0	0.53	0.64	1
699	0.9	0.54	0.59	0.2	0.5	0.0	0.48	0.22	1
700	0.88	0.59	0.54	0.39	0.5	0.0	0.41	0.3	1
701	0.7	0.51	0.47	0.24	0.5	0.0	0.53	0.25	1
702	0.25	0.36	0.58	0.3	0.5	0.0	0.58	0.31	1
703	0.69	0.62	0.49	0.0	1.0	0.0	0.47	0.22	1
704	0.83	0.57	0.42	0.57	0.5	0.0	0.5	0.32	5
705	0.43	0.38	0.38	0.12	0.5	0.0	0.5	0.22	5
706	0.78	0.65	0.4	0.16	0.5	0.0	0.63	0.22	0
707	0.52	0.64	0.34	0.16	0.5	0.0	0.57	0.22	0
708	0.75	0.66	0.64	0.39	0.5	0.0	0.46	0.32	0
709	0.41	0.49	0.58	0.22	0.5	0.0	0.52	0.22	0
710	0.58	0.51	0.56	0.16	0.5	0.0	0.34	0.22	1
711	0.48	0.49	0.45	0.23	0.5	0.0	0.51	0.22	6
712	0.39	0.42	0.49	0.1	0.5	0.0	0.49	0.65	1
713	0.31	0.42	0.48	0.17	0.5	0.0	0.49	0.53	1
714	0.39	0.28	0.54	0.14	0.5	0.0	0.59	0.22	0
715	0.76	0.67	0.37	0.22	0.5	0.0	0.54	0.22	5
716	0.49	0.27	0.57	0.18	0.5	0.83	0.54	0.22	8
717	0.28	0.48	0.56	0.16	0.5	0.0	0.48	0.26	2
718	0.69	0.39	0.52	0.12	0.5	0.0	0.38	0.35	2
719	0.64	0.52	0.5	0.26	0.5	0.0	0.51	0.31	1
720	0.56	0.48	0.5	0.3	0.5	0.0	0.51	0.22	2
721	0.5	0.5	0.54	0.16	0.5	0.0	0.49	0.22	8
722	0.47	0.43	0.59	0.27	0.5	0.0	0.55	0.22	8
723	0.68	0.59	0.44	0.49	0.5	0.0	0.4	0.26	8
724	0.5	0.51	0.57	0.27	0.5	0.0	0.48	0.22	8
725	0.45	0.46	0.61	0.2	0.5	0.0	0.62	0.22	2
726	0.53	0.51	0.36	0.13	0.5	0.0	0.52	0.22	6
727	0.6	0.54	0.54	0.53	0.5	0.0	0.52	0.27	0
728	0.49	0.52	0.53	0.7	0.5	0.0	0.51	0.22	0
729	0.49	0.45	0.53	0.16	0.5	0.0	0.49	0.31	2
730	0.51	0.46	0.57	0.25	0.5	0.0	0.53	0.22	2
731	0.49	0.45	0.46	0.18	0.5	0.0	0.49	0.31	2
732	0.52	0.46	0.51	0.18	0.5	0.0	0.5	0.22	2
733	0.55	0.59	0.52	0.1	0.5	0.0	0.53	0.22	2
734	0.39	0.58	0.5	0.1	0.5	0.0	0.51	0.25	2
735	0.33	0.38	0.45	0.19	0.5	0.0	0.54	0.37	1
736	0.61	0.46	0.44	0.47	0.5	0.0	0.5	0.37	1
737	0.41	0.48	0.38	0.13	0.5	0.0	0.51	0.35	6
738	0.37	0.42	0.6	0.13	0.5	0.0	0.51	0.22	1
739	0.45	0.58	0.59	0.44	0.5	0.0	0.56	0.22	0
740	0.74	0.89	0.32	0.24	0.5	0.0	0.54	0.32	3
741	0.28	0.46	0.26	0.18	0.5	0.0	0.39	0.22	7
742	0.51	0.46	0.49	0.21	0.5	0.0	0.55	0.22	7
743	0.8	0.82	0.57	0.26	0.5	0.0	0.57	0.27	7
744	0.46	0.49	0.45	0.28	0.5	0.0	0.55	0.22	7
745	0.4	0.36	0.55	0.15	0.5	0.0	0.53	0.22	7
746	0.67	0.46	0.58	0.3	0.5	0.0	0.57	0.27	1
747	0.5	0.32	0.49	0.49	0.5	0.0	0.48	0.32	0
748	0.45	0.53	0.47	0.43	0.5	0.0	0.5	0.27	0
749	0.75	0.6	0.43	0.35	0.5	0.0	0.45	0.27	0
750	0.56	0.68	0.52	0.39	0.5	0.0	0.36	0.22	0
751	0.48	0.45	0.59	0.35	0.5	0.0	0.55	0.3	0
752	0.26	0.28	0.6	0.2	0.5	0.0	0.54	0.31	0
753	0.59	0.45	0.58	0.21	0.5	0.0	0.49	0.22	0
754	0.48	0.52	0.49	0.35	0.5	0.5	0.51	0.22	0
755	0.59	0.58	0.47	0.61	0.5	0.0	0.44	0.3	0
756	0.5	0.57	0.62	0.25	0.5	0.0	0.51	0.22	0
757	0.57	0.49	0.5	0.2	0.5	0.0	0.51	0.28	2
758	0.62	0.43	0.49	0.29	0.5	0.0	0.5	0.27	2
759	0.45	0.41	0.49	0.14	1.0	0.0	0.53	0.3	2
760	0.47	0.49	0.6	0.15	0.5	0.0	0.38	0.22	2
761	0.41	0.48	0.54	0.24	0.5	0.0	0.37	0.51	1
762	0.46	0.46	0.53	0.23	0.5	0.0	0.51	0.22	2
763	0.48	0.42	0.48	0.19	0.5	0.0	0.58	0.22	2
764	0.43	0.45	0.53	0.19	0.5	0.0	0.56	0.22	2
765	0.28	0.36	0.55	0.15	0.5	0.0	0.57	0.22	2
766	0.48	0.46	0.58	0.26	0.5	0.0	0.44	0.22	1
767	0.74	0.72	0.5	0.28	0.5	0.0	0.5	0.27	4
768	0.74	0.72	0.5	0.28	0.5	0.0	0.49	0.27	4
769	0.38	0.62	0.52	0.14	0.5	0.0	0.53	0.22	2
770	0.77	0.72	0.48	0.26	0.5	0.0	0.51	0.22	4
771	0.44	0.42	0.57	0.22	0.5	0.0	0.5	0.25	1
772	0.74	0.74	0.51	0.27	0.5	0.0	0.5	0.22	4
773	0.39	0.81	0.35	0.28	0.5	0.0	0.51	0.45	6
774	0.53	0.54	0.43	0.18	0.5	0.0	0.53	0.31	1
