Description	Outer_Iteration	Inner_Iteration	Algorithm	Features
diabetes	4	2	/AlgorithmScripts/FeatureSelection/arff/weka/ReliefF/default	A2,A4,A6,A8,A7,A1,A3,A5
diabetes	4	2	/AlgorithmScripts/FeatureSelection/arff/weka/SymmetricalUncertainty/default	A2,A6,A8,A7,A4,A3,A5,A1
diabetes	4	2	/AlgorithmScripts/FeatureSelection/tsv/mlr/kruskal.test/default	A2,A6,A8,A7,A1,A3,A4,A5
diabetes	4	2	/AlgorithmScripts/FeatureSelection/tsv/mlr/randomForestSRC.rfsrc/default	A2,A8,A6,A7,A4,A1,A3,A5
diabetes	4	2	/AlgorithmScripts/FeatureSelection/tsv/sklearn/mutual_info/default	A2,A6,A8,A1,A3,A4,A7,A5
diabetes	4	2	/AlgorithmScripts/FeatureSelection/tsv/sklearn/random_forest_rfe/default	A2,A6,A7,A8,A3,A4,A1,A5
diabetes	4	2	/AlgorithmScripts/FeatureSelection/tsv/sklearn/svm_rfe/default	A2,A6,A8,A3,A7,A1,A4,A5
diabetes	4	3	/AlgorithmScripts/FeatureSelection/arff/weka/Correlation/default	A2,A6,A8,A1,A7,A3,A5,A4
diabetes	4	3	/AlgorithmScripts/FeatureSelection/arff/weka/GainRatio/default	A2,A6,A8,A3,A4,A7,A5,A1
diabetes	4	3	/AlgorithmScripts/FeatureSelection/arff/weka/OneR/default	A2,A5,A4,A7,A8,A6,A1,A3
diabetes	4	3	/AlgorithmScripts/FeatureSelection/arff/weka/ReliefF/default	A2,A4,A8,A6,A1,A5,A7,A3
diabetes	4	3	/AlgorithmScripts/FeatureSelection/arff/weka/SymmetricalUncertainty/default	A2,A6,A8,A3,A4,A7,A5,A1
diabetes	4	3	/AlgorithmScripts/FeatureSelection/tsv/mlr/kruskal.test/default	A2,A6,A8,A3,A7,A1,A4,A5
diabetes	4	3	/AlgorithmScripts/FeatureSelection/tsv/mlr/randomForestSRC.rfsrc/default	A2,A6,A8,A1,A5,A4,A7,A3
diabetes	4	3	/AlgorithmScripts/FeatureSelection/tsv/sklearn/mutual_info/default	A6,A5,A2,A7,A8,A4,A3,A1
diabetes	4	3	/AlgorithmScripts/FeatureSelection/tsv/sklearn/random_forest_rfe/default	A2,A6,A7,A8,A3,A1,A4,A5
diabetes	4	3	/AlgorithmScripts/FeatureSelection/tsv/sklearn/svm_rfe/default	A2,A6,A1,A5,A7,A3,A8,A4
diabetes	5	1	/AlgorithmScripts/FeatureSelection/arff/weka/Correlation/default	A2,A6,A8,A7,A5,A1,A4,A3
diabetes	5	1	/AlgorithmScripts/FeatureSelection/arff/weka/GainRatio/default	A2,A6,A8,A5,A3,A4,A7,A1
diabetes	5	1	/AlgorithmScripts/FeatureSelection/arff/weka/OneR/default	A2,A1,A7,A5,A8,A4,A6,A3
diabetes	5	1	/AlgorithmScripts/FeatureSelection/arff/weka/ReliefF/default	A2,A1,A6,A7,A8,A4,A5,A3
diabetes	5	1	/AlgorithmScripts/FeatureSelection/arff/weka/SymmetricalUncertainty/default	A2,A6,A5,A8,A3,A4,A7,A1
diabetes	5	1	/AlgorithmScripts/FeatureSelection/tsv/mlr/kruskal.test/default	A2,A6,A8,A7,A4,A3,A1,A5
diabetes	5	1	/AlgorithmScripts/FeatureSelection/tsv/mlr/randomForestSRC.rfsrc/default	A2,A8,A6,A1,A7,A4,A5,A3
diabetes	5	1	/AlgorithmScripts/FeatureSelection/tsv/sklearn/mutual_info/default	A8,A2,A6,A1,A5,A7,A4,A3
diabetes	5	1	/AlgorithmScripts/FeatureSelection/tsv/sklearn/random_forest_rfe/default	A2,A6,A7,A8,A3,A1,A5,A4
diabetes	5	1	/AlgorithmScripts/FeatureSelection/tsv/sklearn/svm_rfe/default	A2,A6,A7,A8,A3,A1,A4,A5
diabetes	5	2	/AlgorithmScripts/FeatureSelection/arff/weka/Correlation/default	A2,A6,A7,A8,A1,A5,A3,A4
diabetes	5	2	/AlgorithmScripts/FeatureSelection/arff/weka/GainRatio/default	A2,A6,A7,A8,A3,A4,A5,A1
diabetes	5	2	/AlgorithmScripts/FeatureSelection/arff/weka/OneR/default	A2,A8,A6,A7,A3,A4,A1,A5
diabetes	5	2	/AlgorithmScripts/FeatureSelection/arff/weka/ReliefF/default	A2,A6,A8,A1,A7,A4,A5,A3
diabetes	5	2	/AlgorithmScripts/FeatureSelection/arff/weka/SymmetricalUncertainty/default	A2,A6,A8,A7,A3,A4,A5,A1
diabetes	5	2	/AlgorithmScripts/FeatureSelection/tsv/mlr/kruskal.test/default	A2,A6,A8,A7,A3,A1,A5,A4
diabetes	5	2	/AlgorithmScripts/FeatureSelection/tsv/mlr/randomForestSRC.rfsrc/default	A2,A6,A8,A5,A7,A3,A1,A4
diabetes	5	2	/AlgorithmScripts/FeatureSelection/tsv/sklearn/mutual_info/default	A2,A8,A3,A1,A6,A5,A7,A4
diabetes	5	2	/AlgorithmScripts/FeatureSelection/tsv/sklearn/random_forest_rfe/default	A2,A6,A7,A8,A3,A1,A5,A4
diabetes	5	2	/AlgorithmScripts/FeatureSelection/tsv/sklearn/svm_rfe/default	A2,A6,A1,A4,A7,A3,A8,A5
diabetes	5	3	/AlgorithmScripts/FeatureSelection/arff/weka/Correlation/default	A2,A6,A7,A8,A1,A5,A4,A3
diabetes	5	3	/AlgorithmScripts/FeatureSelection/arff/weka/GainRatio/default	A2,A6,A5,A7,A8,A4,A3,A1
diabetes	5	3	/AlgorithmScripts/FeatureSelection/arff/weka/OneR/default	A2,A5,A4,A8,A1,A7,A3,A6
diabetes	5	3	/AlgorithmScripts/FeatureSelection/arff/weka/ReliefF/default	A2,A1,A6,A7,A8,A4,A5,A3
diabetes	5	3	/AlgorithmScripts/FeatureSelection/arff/weka/SymmetricalUncertainty/default	A2,A5,A6,A7,A8,A4,A3,A1
diabetes	5	3	/AlgorithmScripts/FeatureSelection/tsv/mlr/kruskal.test/default	A2,A6,A7,A8,A1,A3,A4,A5
diabetes	5	3	/AlgorithmScripts/FeatureSelection/tsv/mlr/randomForestSRC.rfsrc/default	A2,A6,A7,A8,A5,A1,A4,A3
diabetes	5	3	/AlgorithmScripts/FeatureSelection/tsv/sklearn/mutual_info/default	A5,A2,A6,A3,A8,A1,A7,A4
diabetes	5	3	/AlgorithmScripts/FeatureSelection/tsv/sklearn/random_forest_rfe/default	A2,A7,A6,A8,A5,A1,A3,A4
diabetes	5	3	/AlgorithmScripts/FeatureSelection/tsv/sklearn/svm_rfe/default	A2,A6,A7,A1,A3,A5,A4,A8
